"X1.location","X1.source","X1.target","X1.id","X1.fuzzy","X1.context","X1.translator_comments","X1.developer_comments"
"lib/Drupal/Core/EventSubscriber/ExceptionLoggingSubscriber.php:70","'%type: @message in %function (line %line of %file).'","'%type: @message in %function (Zeile %line in %file).'","","False","","",""
"modules/node/src/NodePermissions.php:47","'%type_name: Create new content'","'%type_name: Neue Inhalte erstellen'","","False","","",""
"modules/media/src/MediaPermissions.php:75","'%type_name: Create new media'","'%type_name: Neues Medium erstellen'","","False","","",""
"modules/node/src/NodePermissions.php:70","'%type_name: Delete revisions'","'%type_name: Revisionen löschen'","","False","","",""
"modules/node/src/NodePermissions.php:53","'%type_name: Edit any content'","'%type_name: Beliebigen Inhalt bearbeiten'","","False","","",""
"modules/media/src/MediaPermissions.php:81","'%type_name: Edit any media'","'%type_name: Alle Medien bearbeiten'","","False","","",""
"modules/node/src/NodePermissions.php:50","'%type_name: Edit own content'","'%type_name: Eigene Inhalte bearbeiten'","","False","","",""
"modules/shortcut/src/Form/SwitchShortcutSet.php:210","'%user is now using the %set_name shortcut set.'","'%user verwendet jetzt die Verknüpfungsgruppe %set_name.'","","False","","",""
"modules/taxonomy/src/TaxonomyPermissions.php:79","'%vocabulary: Create terms'","'%vocabulary: Begriff erstellen'","","False","","",""
"modules/taxonomy/src/TaxonomyPermissions.php:80","'%vocabulary: Delete terms'","'%vocabulary: Begriff löschen'","","False","","",""
"modules/taxonomy/src/TaxonomyPermissions.php:81","'%vocabulary: Edit terms'","'%vocabulary: Begriffe bearbeiten'","","False","","",""
"modules/comment/src/CommentForm.php:325","(No subject)","(Kein Betreff)","","False","","",""
"modules/update/src/Form/UpdateManagerUpdate.php:167","(Security update)","(Sicherheitsupdate)","","False","","",""
"modules/views/src/Plugin/views/style/Table.php:220","(Sticky header effects will not be active for preview below, only on live output.)","(Der Klebeeffekt des Tabellenkopf wird in der unteren Vorschau nicht angezeigt, nur bei der Live-Ausgabe.)","","False","","",""
"modules/update/src/Form/UpdateManagerUpdate.php:128","(Theme)","","","False","","",""
"modules/views/src/Plugin/views/field/EntityField.php:640","(start from last values)","﻿(Mit den letzten Werten beginnen)","","False","","",""
"modules/node/src/NodeTranslationHandler.php:43","(this translation)","(diese Übersetzung)","","False","","",""
"themes/stable/templates/admin/image-scale-summary.html.twig:32","(upscaling allowed)","(hochskalieren erlaubt)","","False","","",""
"modules/update/update.install:168","(version @version available)","(Version @version ist verfügbar)","","False","","",""
"modules/search/src/SearchPageListBuilder.php:292","'- Choose page type -'","'- Suchseitentyp auswählen -'","","False","","",""
"modules/media/src/MediaSourceBase.php:180","'- Create -'","'- Erstellen -'","","False","","",""
"modules/book/src/BookManager.php:228","'- Create a new book -'","'- Neues Buch erstellen -'","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldFormatter/TimestampFormatter.php:135","'- Default site/user time zone -'","'- Standardzeitzone der Website bzw. des Benutzers -'","","False","","",""
"modules/views/views.views.inc:691;737","'- No value -'","'- Kein Wert -'","","False","","",""
"modules/responsive_image/src/ResponsiveImageStyleForm.php:85","'- None (original image) -'","'- Kein Bildstil (Originalbild) -'","","False","","",""
"modules/views/src/Plugin/views/style/StylePluginBase.php:280","'- None -'","'- Keine -'","","False","","",""
"modules/system/system.module:1268","'- None selected -'","'- Keine ausgewählt -'","","False","","",""
"lib/Drupal/Core/Field/Plugin/Field/FieldWidget/OptionsSelectWidget.php:76","'- Select a value -'","'- Wert wählen -'","","False","","",""
"modules/field_ui/src/Form/FieldStorageAddForm.php:177","'- Select an existing field -'","'- Vorhandenes Feld auswählen -'","","False","","",""
"modules/media/src/MediaTypeForm.php:178","'- Skip field -'","'- Feld überspringen -'","","False","","",""
"modules/views/src/Plugin/views/field/FieldPluginBase.php:319","'- Use default -'","'- Standard verwenden -'","","False","","",""
"lib/Drupal/Core/Datetime/DateFormatter.php:212;304","0 seconds","0 Sekunden","","False","","",""
"modules/file/config/optional/views.view.files.yml:0","1","1","","False","","",""
"modules/workspaces/src/Form/WorkspaceDeleteForm.php:97","1 @label revision.","1 Revision für @label.","","False","","",""
"modules/block/js/block.admin.js:0","1 block is available in the modified list.","1 Block ist in der überarbeiteten Liste verfügbar.","","False","","",""
"modules/simpletest/simpletest.module:104","1 debug message","1 Debugnachricht","","False","","",""
"modules/comment/comment.install:185","1 entity display updated: @displays.","1 Entitätsanzeige aktualisiert: @displays","","False","","",""
"modules/inline_form_errors/src/FormErrorHandler.php:111","1 error has been found: ","1 Fehler wurde gefunden: ","","False","","",""
"modules/simpletest/simpletest.module:102","1 exception","1 Ausnahme","","False","","",""
"modules/node/node.admin.inc:172","1 item successfully processed:","1 Element wurde erfolgreich verarbeitet:","","False","","",""
"includes/common.inc:0","1 min","1 Minute","","False","","",""
"modules/datetime_range/src/Plugin/Field/FieldWidget/DateRangeDatelistWidget.php:119","1 minute","1 Minute","","True","","",""
"lib/Drupal/Core/Datetime/DateFormatter.php:245","1 month","1 Monat","","False","","",""
"modules/simpletest/simpletest.module:100","1 pass","1 Durchgang","","False","","",""
"modules/system/src/Controller/DbUpdateController.php:368","1 pending update","1 ausstehende Aktualisierung","","False","","",""
"modules/system/src/Controller/DbUpdateController.php:360","1 pending update (@number_applied to be applied, @number_incompatible skipped)","1 ausstehende Aktualisierung (@number_applied anwendbar, @number_incompatible übersprungen)","","False","","",""
"modules/file/config/optional/views.view.files.yml:0","1 place","","","False","","",""
"modules/statistics/statistics.module:58","1 view","1 Aufruf","","False","","",""
"lib/Drupal/Core/Datetime/DateFormatter.php:256","1 week","1 Woche","","False","","",""
"lib/Drupal/Core/Datetime/DateFormatter.php:240","1 year","1 Jahr","","False","","",""
"modules/datetime_range/src/Plugin/Field/FieldWidget/DateRangeDatelistWidget.php:121","10 minute","10 Minuten","","False","","",""
"modules/book/book.views.inc:103","2nd parent","2. übergeordnetes Element","","False","","",""
"modules/datetime_range/src/Plugin/Field/FieldWidget/DateRangeDatelistWidget.php:123","30 minute","30 Minuten","","False","","",""
"profiles/demo_umami/config/install/responsive_image.styles.3_2_image.yml:0","3:2 Image","","","False","","",""
"modules/book/book.views.inc:104","3rd parent","3. übergeordnetes Element","","False","","",""
"modules/book/book.views.inc:108","7th parent","7. übergeordnetes Element","","False","","",""
"modules/book/book.views.inc:109","8th parent","8. übergeordnetes Element","","False","","",""
"modules/book/book.views.inc:110","9th parent","9. übergeordnetes Element","","False","","",""
"modules/views_ui/views_ui.theme.inc:42",":","","","False","","",""
"modules/comment/src/CommentManager.php:196","<a href="":login"">Log in</a> or <a href="":register"">register</a> to post comments","<a href="":login"">Anmelden</a> oder <a href="":register"">Registieren</a>, um Kommentare verfassen zu können","","False","","",""
"modules/comment/src/CommentManager.php:203","<a href="":login"">Log in</a> to post comments","<a href="":login"">Anmelden</a>, um Kommentare verfassen zu können","","False","","",""
"modules/content_translation/content_translation.install:39","<a href="":settings_url"">Enable translation</a> for <em>content types</em>, <em>taxonomy vocabularies</em>, <em>accounts</em>, or any other element you wish to translate.","Das <a href="":settings_url"">Aktivieren von Übersetzungen</a> ist  für <em>Inhaltstypen</em>, <em>Taxonomie-Vokabulare</em>, <em>Benutzerkonten</em> bzw. jedes andere Element, dass Sie übersetzen möchten möglich.","","False","","",""
"modules/update/src/ProjectSecurityRequirement.php:171","<a href="":update_status_report"">Update to @next_minor or higher</a> soon to continue receiving security updates.","","","False","","",""
"modules/help_topics/help_topics/block.overview.html.twig:13","<a href=""https://www.drupal.org/docs/user_guide/en/blocks-chapter.html"">Blocks chapter of the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.extending.html.twig:12","<a href=""https://www.drupal.org/docs/user_guide/en/extend-chapter.html"">Extending and customizing your site chapter in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.content_structure.html.twig:40","<a href=""https://www.drupal.org/docs/user_guide/en/planning-chapter.html"">Planning your Site chapter in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/system.cache.html.twig:13","<a href=""https://www.drupal.org/docs/user_guide/en/prevent-cache.html"">Concept: Cache in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.cron.html.twig:22","<a href=""https://www.drupal.org/docs/user_guide/en/security-cron.html"">Configuring Cron Maintenance Tasks in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.content_structure.html.twig:41","<a href=""https://www.drupal.org/docs/user_guide/en/structure-reference-fields.html"">Concept: Reference Fields topic in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.content_structure.html.twig:39","<a href=""https://www.drupal.org/docs/user_guide/en/understanding-data.html"">Concept: Types of Data topic in the User Guide</a>","","","False","","",""
"modules/help_topics/help_topics/core.extending.html.twig:11","<a href=""https://www.drupal.org/docs/user_guide/en/understanding-modules.html"">Concept: Modules topic in the User Guide</a>","","","False","","",""
"modules/language/language.module:53","<em>Account administration pages</em> follows the configuration set as <em>Administration pages language</em> on the profile page of an administrative user. This method is similar to the <em>User</em> method, but only sets the interface text language on administration pages, independent of the interface text language on other pages.","<em>Benutzerverwaltungsseiten</em> folgt der Konfiguration <em>Sprache für Verwaltungsseiten</em> auf der Profilseite eines administrativen Benutzers. Diese Methode ähnelt der Methode <em>Benutzer</em>, setzt aber nur die Sprache für Oberflächentext auf Verwaltungsseiten, unabhängig von der Sprache von Oberflächentext auf anderen Seiten.","","False","","",""
"modules/action/action.module:27","<em>Advanced actions</em> are user-created and have to be configured individually. Create an advanced action on the <a href="":actions"">Actions page</a> by selecting an action type from the drop-down list. Then configure your action, for example by specifying the recipient of an automated email message.","<em>Erweiterte Aktionen</em> werden vom Benutzer erstellt und müssen individuell konfiguriert werden. Eine erweiterte Aktion wird unter <a href="":actions"">Aktionen Seite</a> erstellt, indem der Aktionstyp aus der Drop-Down-Liste ausgewählt wird. Dann konfiguriert man die Aktion z. B. die Empfänger einer automatischen E-Mail bestimmen.","","False","","",""
"modules/image/src/Plugin/Field/FieldType/ImageItem.php:273","<em>Alt</em> field required","<em>Alt</em>-Feld ist erforderlich","","False","","",""
"modules/help_topics/help_topics/block.configure.html.twig:13","<em>Block title</em>: The heading for the block on your site -- for some blocks, you will need to check the <em>Override title</em> checkbox in order to enter a title","","","False","","",""
"modules/help_topics/help_topics/block.configure.html.twig:14","<em>Display title</em>: Check the box if you want the title displayed","","","False","","",""
"modules/responsive_image/src/ResponsiveImageStyleForm.php:57","<em>Duplicate responsive image style</em> @label","<em>Responsiven Bildstil @label duplizieren</em>","","False","","",""
"modules/node/src/NodeTranslationHandler.php:54","<em>Edit @type</em> @title","<em>@type bearbeiten</em> @title","","False","","",""
"modules/responsive_image/src/ResponsiveImageStyleForm.php:61","<em>Edit responsive image style</em> @label","<em>Responsiven Bildstil @label bearbeiten</em>","","False","","",""
"modules/help_topics/help_topics/block.configure.html.twig:16","<em>Region</em>: Change the theme region the block is displayed in","","","False","","",""
"modules/help_topics/help_topics/user.overview.html.twig:4","<em>Roles</em> are used to group and classify users; each user can be assigned one or more roles. There are also special roles for all anonymous and all authenticated users.","","","False","","",""
"modules/user/user.module:87","<em>Roles</em> are used to group and classify users; each user can be assigned one or more roles. Typically there are two pre-defined roles: <em>Anonymous user</em> (users that are not logged in), and <em>Authenticated user</em> (users that are registered and logged in). Depending on how your site was set up, an <em>Administrator</em> role may also be available: users with this role will automatically be assigned any new permissions whenever a module is enabled. You can create additional roles on the <a href="":roles"">Roles administration page</a>.","<em> Rollen</em> werden verwendet, um Benutzer in bestimmte Gruppen einzuteilen und diese zu Klassifizieren. Jedem Benutzer können eine oder mehrere Rollen zugewiesen werden. Typischer weise gibt es zwei bereits definierte Rollen. <em>Anonyme Benutzer</em> (Benutzter, die nicht an der Website angemeldet sind) und <em>Angemeldete Benutzer</em> (Benutzer, die sich an der Website angemeldet und eingeloggt haben). Abhängig vom Aufbau der Website ist ausserdem eine <em>Rolle für Administratoren</em> verfügbar. Benutzer, denen diese Rolle zugewiesen worden ist, erhalten automatische alle neuen Berechtigungen, sobald ein neues Modul aktiviert wird. Auf der Seite <a href="":roles"">Rollen</a> können bei Bedarf weiterer Rollenangelegt werden.","","False","","",""
"modules/language/language.module:54","<em>Selected language</em> allows you to specify the site's default language or a specific language as the fall-back language. This method should be listed last.","<em>Ausgewählte Sprache</em> ermöglicht es, die Standardsprache der Website oder eine bestimmte Sprache als Rückfallsprache anzugeben. Diese Methode sollte als letztes aufgeführt sein.","","False","","",""
"modules/image/src/Plugin/Field/FieldType/ImageItem.php:292","<em>Title</em> field required","<em>Title</em>-Feld erforderlich","","False","","",""
"modules/language/language.module:49","<em>URL</em> sets the interface language based on a path prefix or domain (for example specifying <em>de</em> for German would result in URLs like <em>example.com/de/contact</em>). The default language does not require a path prefix, but can have one assigned as well. If the language detection is done by domain name, a domain needs to be specified for each language.","<em>URL</em> setzt die Sprache der Benutzeroberfläche nach Pfadpräfix oder Domain (die Angabe von <em>de</em> würde z. B. URLs wie <em>example.com/de/contact</em> ergeben). Die Standardsprache benötigt keinen Pfadpräfix, es kann jedoch einer zugewiesen werden. Wenn die Spracherkennung über die Domain erfolgt, muss für jede Sprache eine Domain angegeben werden.","","False","","",""
"modules/language/language.module:51","<em>User</em> follows the language configuration set on the user's profile page.","<em>Benutzer</em> folgt der auf der Profilseite des Benutzers festgelegten Sprachkonfiguration.","","False","","",""
"modules/help_topics/help_topics/user.security_account_settings.html.twig:11","<em>Variables</em> are short text strings, enclosed in square brackets [], that you can insert into configured email message text. When an individual message is generated, data from your site is substituted for the variables. Some commonly-used variables are:","","","False","","",""
"modules/language/config/optional/tour.tour.language-add.yml:0","<p>Choose a language from the list, or choose ""Custom language..."" at the end of the list.</p><p>Click the ""Add language"" button when you are done choosing your language.</p><p>When adding a custom language, you will get an additional form where you can provide the name, code, and direction of the language.</p>","<p>Eine Sprache aus der Liste oder „Benutzerdefinierte Sprache...“ am Ende der selben auswählen.</p><p>Wenn die Sprache ausgewählt wurde, den „Sprache hinzufügen“-Button klicken.</p><p>Beim Hinzufügen einer benutzerdefinierten Sprache, wird ein zusätzliches Formular angezeigt. In diesem kann der Name, das Sprachkürzel sowie die Leserichtung der Sprache angeben werden.</p>","","False","","",""
"modules/language/config/optional/tour.tour.language-edit.yml:0","<p>Choose if the language is a ""Left to right"" or ""Right to left"" language.</p><p>Note that not all themes support ""Right to left"" layouts, so test your theme if you are using ""Right to left"".</p>","<p>Auswählen ob es sich um eine „Links-nach-rechts“ oder „Rechts-nach-links“ Sprache handelt.</p><p>Beachte, dass nicht alle Themes „Rechts-nach-links“ Layouts unterstützen. Sollte „Rechts-nach-links“ ausgewählt sein, das verwendete Theme im Hinblick darauf testen.</p>","","False","","",""
"modules/language/config/optional/tour.tour.language-add.yml:0","<p>Now that you have an overview of the ""Add languages"" feature, you can continue by:<ul><li>Adding a language</li><li>Adding a custom language</li><li><a href=""[site:url]admin/config/regional/language"">Viewing configured languages</a></li></ul></p>","<p>Nachdem sich ein Überblick über die „Sprache hinzufügen“ Funktion verschafft wurde, geht es hiermit weiter:<ul><li>Eine Sprache hinzufügen</li><li>Eine benutzerdefinierte Sprache hinzufügen</li><li><a href=""[site:url]admin/config/regional/language"">Eingerichtete Sprachen anzeigen</a></li></ul></p>","","False","","",""
"modules/language/config/optional/tour.tour.language-edit.yml:0","<p>Now that you have an overview of the ""Edit language"" feature, you can continue by:<ul><li>Editing a language</li><li><a href=""[site:url]admin/config/regional/language"">Viewing configured languages</a></li></ul></p>","<p>Nachdem sich ein Überblick über die „Sprache bearbeiten“ Funktion verschafft wurde, geht es hiermit weiter:<ul><li>Eine Sprache bearbeiten</li><li><a href=""[site:url]admin/config/regional/language"">Die eingerichteten Sprachen anzeigen</a></li></ul></p>","","False","","",""
"modules/language/config/optional/tour.tour.language-edit.yml:0","<p>The language name is used throughout the site for all users and is written in English. Names of built-in languages can be translated using the Interface Translation module, and names of both built-in and custom languages can be translated using the Configuration Translation module.</p>","<p>Der Name der Sprache wird für alle Benutzer der Website in Englisch angezeigt. Die Namen von mitgelieferten Sprachen kann mit dem Interface Translation-Modul und Namen von mitgelieferten sowie benutzerdefinierten Sprache kann mit dem Configuration Translation-Modul übersetzt werden.</p>","","False","","",""
"modules/user/src/Form/UserPasswordResetForm.php:45","<p>This is a one-time login for %user_name and will expire on %expiration_date.</p><p>Click on this button to log in to the site and change your password.</p>","<p>Dies ist eine einmalige Anmeldung für %user_name und läuft am %expiration_date ab.</p><p>Klicken Sie diese Schaltfläche an, um sich an der Website anzumelden und Ihr Passwort zu ändern.</p>","","False","","",""
"modules/user/src/Form/UserPasswordResetForm.php:50","<p>This is a one-time login for %user_name.</p><p>Click on this button to log in to the site and change your password.</p>","<p>Dies ist ein einmal gültiger Link für die Anmeldung als %user_name.</p><p>Klicken Sie auf diesen Button um sich an der Seite anzumelden und Ihr Passwort zu ändern.</p>","","False","","",""
"modules/language/config/optional/tour.tour.language-add.yml:0","<p>This page provides the ability to add common languages to your site.</p><p>If the desired language is not available, you can add a custom language.</p>","<p>Diese Seite bietet die Möglichkeit verbreitete Sprachen zur Website hinzuzufügen.</p><p>Falls die gewünschte Sprache nicht verfügbar ist, kann eine benutzerdefinierte Sprache hinzugefügt werden.</p>","","False","","",""
